[2022-04-10 00:06:05,143]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549165122, data=[50360], isExpired=false}
[2022-04-10 00:06:10,196]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549170079, data=[50289], isExpired=false}
[2022-04-10 00:06:15,142]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549175122, data=[49425], isExpired=false}
[2022-04-10 00:06:20,219]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549180106, data=[50766], isExpired=false}
[2022-04-10 00:06:25,140]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549185122, data=[48816], isExpired=false}
[2022-04-10 00:06:30,142]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549190122, data=[50238], isExpired=false}
[2022-04-10 00:06:35,144]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549195122, data=[50759], isExpired=false}
[2022-04-10 00:06:40,217]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549200094, data=[50969], isExpired=false}
[2022-04-10 00:06:45,234]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549205119, data=[50050], isExpired=false}
[2022-04-10 00:06:50,141]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549210122, data=[49591], isExpired=false}
[2022-04-10 00:06:55,147]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549215032, data=[50598], isExpired=false}
[2022-04-10 00:07:00,158]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549220038, data=[50033], isExpired=false}
[2022-04-10 00:07:05,191]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549225074, data=[50036], isExpired=false}
[2022-04-10 00:07:10,225]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549230110, data=[50033], isExpired=false}
[2022-04-10 00:07:15,210]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549235093, data=[50053], isExpired=false}
[2022-04-10 00:07:20,211]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549240094, data=[50040], isExpired=false}
[2022-04-10 00:07:25,230]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549245216, data=[50063], isExpired=false}
[2022-04-10 00:07:30,233]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549250219, data=[50014], isExpired=false}
[2022-04-10 00:07:35,211]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549255094, data=[50055], isExpired=false}
[2022-04-10 00:07:40,136]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549260122, data=[50104], isExpired=false}
[2022-04-10 00:07:45,137]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549265122, data=[50101], isExpired=false}
[2022-04-10 00:07:50,139]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549270122, data=[50563], isExpired=false}
[2022-04-10 00:07:55,140]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549275122, data=[50540], isExpired=false}
[2022-04-10 00:08:00,141]  INFO {io.siddhi.core.stream.output.sink.LogSink} - HttpSource : HttpSourceThroughputStream : Event{timestamp=1649549280112, data=[50520], isExpired=false}
